納品数,販売数,時系列インデックス,タイトル,累積販売数,消化率
0,546,38,一番くじタヌキとキツネお山のパン屋さん,180827,0.9072195464579571
0,504,39,一番くじタヌキとキツネお山のパン屋さん,181331,0.9097481436885411
0,455,40,一番くじタヌキとキツネお山のパン屋さん,181786,0.9120309050772627
0,442,41,一番くじタヌキとキツネお山のパン屋さん,182228,0.9142484447120208
0,520,42,一番くじタヌキとキツネお山のパン屋さん,182748,0.9168573148705599
0,605,43,一番くじタヌキとキツネお山のパン屋さん,183353,0.9198926349588601
0,417,44,一番くじタヌキとキツネお山のパン屋さん,183770,0.9219847481436886
0,313,45,一番くじタヌキとキツネお山のパン屋さん,184083,0.9235550872968091
0,277,46,一番くじタヌキとキツネお山のパン屋さん,184360,0.9249448123620309
0,323,47,一番くじタヌキとキツネお山のパン屋さん,184683,0.9265653220951234
0,250,48,一番くじタヌキとキツネお山のパン屋さん,184933,0.927819586594421
0,281,49,一番くじタヌキとキツネお山のパン屋さん,185214,0.9292293798916316
0,310,50,一番くじタヌキとキツネお山のパン屋さん,185524,0.9307846678707606
0,300,51,一番くじタヌキとキツネお山のパン屋さん,185824,0.9322897852699177
0,286,52,一番くじタヌキとキツネお山のパン屋さん,186110,0.9337246638571142
0,202,53,一番くじタヌキとキツネお山のパン屋さん,186312,0.9347381095725467
0,198,54,一番くじタヌキとキツネお山のパン屋さん,186510,0.9357314870559904
0,170,55,一番くじタヌキとキツネお山のパン屋さん,186680,0.9365843869155127
0,266,56,一番くじタヌキとキツネお山のパン屋さん,186946,0.9379189243427654
0,239,57,一番くじタヌキとキツネお山のパン屋さん,187185,0.9391180012040939
0,311,58,一番くじタヌキとキツネお山のパン屋さん,187496,0.9406783062412202
0,162,59,一番くじタヌキとキツネお山のパン屋さん,187658,0.941491069636765
3710,35826,0,一番くじツイステッドワンダーランド第二弾,35826,0.058020632581339986
304850,296399,1,一番くじツイステッドワンダーランド第二弾,332225,0.5380423340405202
308770,178199,2,一番くじツイステッドワンダーランド第二弾,510424,0.8266377313877598
70,46437,3,一番くじツイステッドワンダーランド第二弾,556861,0.9018430045184381
70,19180,4,一番くじツイステッドワンダーランド第二弾,576041,0.9329052423599528
0,9688,5,一番くじツイステッドワンダーランド第二弾,585729,0.9485950734448637
0,5696,6,一番くじツイステッドワンダーランド第二弾,591425,0.9578198131083292
0,4603,7,一番くじツイステッドワンダーランド第二弾,596028,0.9652744262879168
0,3479,8,一番くじツイステッドワンダーランド第二弾,599507,0.970908708115374
0,3196,9,一番くじツイステッドワンダーランド第二弾,602703,0.9760846680810403
0,1464,10,一番くじツイステッドワンダーランド第二弾,604167,0.9784556334720715
0,1233,11,一番くじツイステッドワンダーランド第二弾,605400,0.980452491619026
0,990,12,一番くじツイステッドワンダーランド第二弾,606390,0.9820558083793545
0,1065,13,一番くじツイステッドワンダーランド第二弾,607455,0.9837805885306169
0,661,14,一番くじツイステッドワンダーランド第二弾,608116,0.984851085882715
0,822,15,一番くじツイステッドワンダーランド第二弾,608938,0.9861823246473513
0,525,16,一番くじツイステッドワンダーランド第二弾,609463,0.9870325683838891
0,402,17,一番くじツイステッドワンダーランド第二弾,609865,0.9876836121592952
0,272,18,一番くじツイステッドワンダーランド第二弾,610137,0.9881241193904158
0,229,19,一番くじツイステッドワンダーランド第二弾,610366,0.9884949876107342
0,356,20,一番くじツイステッドワンダーランド第二弾,610722,0.9890715338397007
0,434,21,一番くじツイステッドワンダーランド第二弾,611156,0.9897744019952386
0,407,22,一番くじツイステッドワンダーランド第二弾,611563,0.9904335433300403
0,466,23,一番くじツイステッドワンダーランド第二弾,612029,0.99118823586571
0,335,24,一番くじツイステッドワンダーランド第二弾,612364,0.9917307723452151
0,109,25,一番くじツイステッドワンダーランド第二弾,612473,0.9919072991400392
0,122,26,一番くじツイステッドワンダーランド第二弾,612595,0.9921048795892918
0,172,27,一番くじツイステッドワンダーランド第二弾,612767,0.9923834356325003
0,278,28,一番くじツイステッドワンダーランド第二弾,613045,0.9928336599348956
